,start,end,days,years,final_wealth,CAGR,annual_vol,geometric_return,arithmetic_return,sharpe_0rf,sortino_0rf,max_drawdown,max_drawdown_date,recovery_days,worst_1y_return,worst_3y_return,worst_5y_return,ruin_or_90pct_drawdown,dd_50pct_episodes,dd_70pct_episodes,dd_80pct_episodes,monthly_win_rate,yearly_win_rate
NDX_1x_USD,1986-02-03,2026-07-02,10183,40.407939767282684,220.63650041375425,0.14287943240368373,0.26166449170298595,0.14287943240368373,0.1678043893197658,0.6412959902493752,0.8579376042007058,-0.8289721195477741,2002-10-07,4775,-0.6908364359474544,-0.7846121988714498,-0.6874228676296612,False,22,36,8,0.6069958847736625,0.8292682926829268
Gold_1x_USD,1986-02-03,2026-07-02,10183,40.407939767282684,12.184438040345821,0.06382720665434038,0.13728027926925154,0.06382720665434038,0.07099288390961389,0.5171382538519871,0.17807004838598522,-0.4711934156378602,1999-08-31,2345,-0.2747774480712166,-0.3779615019065833,-0.35308641975308586,False,0,0,0,0.37037037037037035,0.5853658536585366
NDX_2x_USD_standard,1986-02-03,2026-07-02,10183,40.407939767282684,608.9550333042982,0.17195742177993623,0.5233283418984398,0.17195742177993623,0.2959588424714083,0.5655318444970516,0.7569107826768835,-0.9892455124849494,2009-03-09,4421,-0.937385062758999,-0.9814428049680445,-0.9667216941882467,True,32,15,4,0.5967078189300411,0.7560975609756098
NDX_Gold_200_daily_USD_standard,1986-02-03,2026-07-02,10183,40.407939767282684,686.4068685916128,0.17543500563289371,0.29572522096836046,0.17543500563289371,0.20504733706125639,0.6933711517395208,0.9663189430557,-0.8350730999255824,2002-10-07,2023,-0.7125648613695117,-0.7753934193269186,-0.6048993330999966,False,12,17,8,0.6152263374485597,0.6829268292682927
NDX_Gold_200_monthly_USD_standard,1986-02-03,2026-07-02,10183,40.407939767282684,694.4341493572043,0.17577326829046558,0.2968857923772641,0.17577326829046558,0.20563593211862874,0.6926432230792618,0.9665925435104668,-0.8360797029413778,2002-10-07,2003,-0.7185322308353332,-0.7747613917159757,-0.6059310550520798,False,16,10,10,0.6193415637860082,0.6829268292682927
NDX_1x_JPY_unhedged,1986-02-03,2026-07-02,10183,40.407939767282684,185.49299543365223,0.137982774819853,0.2895339522616459,0.137982774819853,0.1712604836746772,0.5915039750499195,0.8064000780290804,-0.8046740919289443,2008-11-20,2195,-0.6574614541854135,-0.7660904463996361,-0.6864902365587213,False,11,36,3,0.6193415637860082,0.7073170731707317
Gold_1x_JPY_unhedged,1986-02-03,2026-07-02,10183,40.407939767282684,10.243671856384259,0.05926924768539332,0.17263989124804247,0.05926924768539332,0.07218577592184008,0.4181291786040707,0.5804783097975365,-0.6171600789723817,1999-09-15,2450,-0.31639688526855714,-0.4514020279839126,-0.5316908537052438,False,12,0,0,0.5534979423868313,0.6341463414634146
NDX_2x_JPY_hedged_standard,1986-02-03,2026-07-02,10183,40.407939767282684,173.63155809213126,0.13612328361439818,0.5233320992678169,0.13612328361439818,0.2649089063032849,0.5061965560184699,0.6775507521283035,-0.9916726651056084,2009-03-09,5594,-0.9401745163639658,-0.983235749345785,-0.9706665342878947,True,38,6,6,0.5864197530864198,0.7073170731707317
NDX_Gold_200_JPY_unhedged_standard,1986-02-03,2026-07-02,10183,40.407939767282684,282.551416322393,0.1498966499037857,0.3744228209508494,0.1498966499037857,0.20969632342839406,0.5600521968609412,0.7916196943850329,-0.7912159418654089,2002-08-05,3460,-0.6708139905465031,-0.7373389252924121,-0.6408519663016423,False,34,10,0,0.5864197530864198,0.6585365853658537
SP500_1x_USD,2016-07-06,2026-07-02,2513,9.987679671457906,3.582983409542486,0.13629958675791531,0.18047846882085583,0.13629958675791531,0.1443440129947022,0.7997852261145847,0.9617223112778178,-0.33924959024260615,2020-03-23,148,-0.20958141381219453,-0.047286508122382775,0.38545896184719886,False,0,0,0,0.6694214876033058,0.8181818181818182
SP500_2x_USD_standard,2016-07-06,2026-07-02,2513,9.987679671457906,6.707095746302138,0.2099165240085603,0.3609532231088924,0.2099165240085603,0.25666359304073755,0.7110716198350923,0.857380796109492,-0.5928726036248922,2020-03-23,238,-0.42717432901931596,-0.2532340223496965,0.34529698732771874,False,4,0,0,0.6363636363636364,0.8181818181818182
SP500_Gold_200_daily_USD_standard,2016-07-06,2026-07-02,2513,9.987679671457906,9.129945979365957,0.24785837921448106,0.22715856242553184,0.24785837921448106,0.24734492300223895,1.0888646254896277,1.4750066611518962,-0.3398510093686219,2020-03-23,74,-0.2700083554267788,0.1082095990739953,0.7093085595440045,False,0,0,0,0.6776859504132231,0.8181818181818182
