strategy,window_years,count,median,mean,min,p10,p25,p75,p90,max
NDX_1x_USD,5,8923,0.15285459404684731,0.14408095314471134,-0.20751428872908462,-0.019148835864723223,0.07406531104161518,0.20078581760643632,0.2697300284358229,0.6010920235610937
NDX_1x_USD,10,7663,0.1403572112255631,0.13556462842589312,-0.08299545726210211,0.03376641012187048,0.09942295274388879,0.18160437361271609,0.2167198992017286,0.36308741683745627
NDX_1x_USD,15,6403,0.12523470236155054,0.11706097545571605,-0.0051176472245682,0.05698485047541522,0.08721909592853938,0.1458657743932652,0.17575838859591528,0.22009085687575825
NDX_1x_USD,20,5143,0.11519618081084104,0.11161851512791174,0.021325671348686237,0.07845352485679187,0.10064192647437109,0.12771460718296057,0.13860337891897417,0.15992003710736724
NDX_1x_USD,30,2623,0.1317746562056854,0.13177153638194605,0.11417650991268169,0.12052551551333886,0.1268464507161261,0.13555364567987815,0.14195864017948365,0.15384061416936556
NDX_2x_USD_standard,5,8923,0.22660560542653863,0.1948842370249626,-0.4936716536356991,-0.20383194442062857,0.030579423834918074,0.344147556255446,0.48094805480351516,1.214193988677688
NDX_2x_USD_standard,10,7663,0.16485973099899964,0.16518644665250978,-0.2829149750932608,-0.07257321814113715,0.04883047391399853,0.2957202861963226,0.367351787309002,0.6501299243307306
NDX_2x_USD_standard,15,6403,0.11133652099114633,0.11705455557800122,-0.12111105446824977,-0.025198560918756135,0.027540807477751672,0.19498409742188416,0.2786715292300713,0.3742134325534341
NDX_2x_USD_standard,20,5143,0.09089343321738586,0.10455118964840564,-0.06124996871147892,0.04210665972091792,0.06815464913568359,0.1403092398951996,0.20229943289967187,0.2471854258758015
NDX_2x_USD_standard,30,2623,0.148596914327088,0.1475918249672586,0.10440304775382536,0.11920013682476208,0.13891791083629013,0.15684519963156252,0.17080273025911694,0.19388390918484077
NDX_Gold_200_daily_USD_standard,5,8923,0.17806620538673057,0.16615663543699688,-0.16949633648951645,-0.016031096782167274,0.0779268524668062,0.2639410893307025,0.31537279574716515,0.44981654473049537
NDX_Gold_200_daily_USD_standard,10,7663,0.17197617239154206,0.1605984207211114,0.006924305197340885,0.07395838134655786,0.0983485895600591,0.21415562752282769,0.24422018601835688,0.3520698045289221
NDX_Gold_200_daily_USD_standard,15,6403,0.1476187154056654,0.15461629143386577,0.012984929563849557,0.08544659105346578,0.11346544177748452,0.20385494369128399,0.23647944244862834,0.2689366796808248
NDX_Gold_200_daily_USD_standard,20,5143,0.15028175955152423,0.15776355869904177,0.08324619192635252,0.10213308914476275,0.12787656953124749,0.1988275473999439,0.22353620502526128,0.26626016749935566
NDX_Gold_200_daily_USD_standard,30,2623,0.164600923926564,0.15807698428949485,0.11625809326283632,0.12538967004343196,0.13528903650053148,0.17666898681403598,0.18669789123914357,0.2027836583763698
Gold_1x_USD,5,8923,0.043191691028608314,0.055306821048409935,-0.0834223700484461,-0.05630152592537274,-0.021511886629640542,0.12389916480689278,0.19624367971355205,0.2431198705680777
Gold_1x_USD,10,7663,0.04138775494475455,0.05487519053952272,-0.05073587467487972,-0.03121211866525264,0.003072506157166144,0.1097309923123968,0.15371551629306612,0.20701621531780234
Gold_1x_USD,15,6403,0.07334513383622032,0.06323340171291697,-0.029086926496073362,-0.013780556823340229,0.04489662615436396,0.09716355877484162,0.1073996034078224,0.12479366982869289
Gold_1x_USD,20,5143,0.07444433834749531,0.07077459238725627,0.016036816840087065,0.03319242213612261,0.057756533182983016,0.08955085954314024,0.1002216919429925,0.11633079612535147
Gold_1x_USD,30,2623,0.054605775304174875,0.05295907581763643,0.032857948277969395,0.035998028925660064,0.041480345476095026,0.05906584480003585,0.07360916196585632,0.08648799276825003
